date,time,trk,cc,lap 1,lap 2,lap 3,total
2022-02-23,12:30 AM,rDP3,150,30.235,28.585,28.793,1:27.613
2022-02-23,12:38 AM,rDP3,150,30.055,27.997,28.786,1:26.838
2022-03-23,8:19 PM,rDP3,150,30.632,27.339,28.385,1:26.356
2022-04-17,6:44 PM,rDP3,150,30.055,27.781,28.211,1:26.047
2022-05-29,4:29 PM,rDP3,150,29.664,27.713,28.385,1:25.762
2022-03-09,9:41 PM,rDP3,200,28.860,29.538,29.444,1:27.842
2022-03-09,9:44 PM,rDP3,200,26.966,27.577,29.909,1:24.452
2022-02-27,8:53 PM,rGV,150,44.213,43.260,43.017,2:10.490
2022-03-06,9:07 PM,rGV,150,44.131,42.924,42.958,2:10.013
2022-03-12,10:12 PM,rGV,150,44.459,41.851,42.472,2:08.782
2022-03-12,5:33 PM,rGV,150,43.655,43.252,42.570,2:09.477
2022-04-14,7:22 PM,rGV,150,43.616,42.189,42.527,2:08.332
2022-05-22,3:14 PM,rGV,150,43.224,41.990,41.565,2:06.779
2022-07-24,11:20 PM,rGV,150,43.268,41.261,41.587,2:06.116
2022-02-20,11:20 PM,rMC,150,33.892,31.222,31.395,1:36.509
2022-02-23,12:19 AM,rMC,150,33.826,31.297,31.191,1:36.314
2022-02-26,11:22 PM,rMC,150,32.483,31.748,31.015,1:35.246
2022-02-26,11:29 PM,rMC,150,32.314,31.568,30.809,1:34.691
2022-02-26,2:03 AM,rMC,150,32.874,31.680,31.435,1:35.989
2022-02-26,3:44 AM,rMC,150,32.732,31.623,31.355,1:35.710
2022-04-14,10:41 PM,rMC,150,31.873,30.695,31.729,1:34.297
2022-04-16,11:27 AM,rMC,150,31.851,31.897,30.362,1:34.110
2022-04-16,11:34 AM,rMC,150,32.212,30.474,30.894,1:33.580
2022-05-28,6:22 PM,rMC,150,33.584,29.376,30.214,1:33.174
2022-06-18,11:46 PM,rMC,150,33.367,29.364,30.300,1:33.031
2022-06-27,5:32 PM,rMC,150,33.719,29.049,30.176,1:32.944
2022-06-27,5:35 PM,rMC,150,33.155,29.008,30.348,1:32.511
2022-07-12,7:36 PM,rMC,150,33.197,29.700,29.448,1:32.345
2022-07-12,7:41 PM,rMC,150,33.193,29.940,29.188,1:32.321
2022-02-09,10:14 PM,rMMM,150,32.620,31.891,32.194,1:36.705
2022-02-14,3:27 AM,rMMM,150,33.717,30.846,32.088,1:36.651
2022-03-11,11:34 PM,rMMM,150,32.457,31.593,32.297,1:36.347
2022-03-12,1:15 AM,rMMM,150,32.793,31.221,31.425,1:35.439
2022-03-12,5:18 PM,rMMM,150,32.234,31.403,31.611,1:35.248
2022-03-19,11:02 PM,rMMM,150,31.815,30.956,31.941,1:34.712
2022-04-07,9:01 PM,rMMM,150,31.889,31.152,30.550,1:33.591
2022-05-13,8:36 PM,rMMM,150,31.787,30.892,30.433,1:33.112
2022-06-18,10:57 PM,rMMM,150,31.762,30.311,30.509,1:32.582
2022-02-11,6:02 AM,rMP,150,45.333,45.586,43.128,2:14.047
2022-02-11,6:06 AM,rMP,150,44.580,44.422,43.539,2:12.541
2022-02-11,6:34 AM,rMP,150,44.663,43.553,43.655,2:11.871
2022-02-11,6:40 AM,rMP,150,44.821,43.549,42.937,2:11.307
2022-02-23,2:02 AM,rMP,150,45.100,43.171,42.975,2:11.246
2022-03-30,9:29 PM,rMP,150,43.859,43.047,42.603,2:09.509
2022-05-26,11:18 PM,rMP,150,42.910,42.021,42.430,2:07.361
2022-06-28,9:13 PM,rMP,150,43.011,41.261,41.958,2:06.230
2022-06-29,10:08 PM,rMP,150,42.532,41.190,41.190,2:04.912
2022-07-03,5:38 PM,rMP,150,42.142,40.861,40.548,2:03.551
2022-02-09,7:31 PM,rPPS,150,47.704,45.210,45.584,2:18.498
2022-02-09,7:37 PM,rPPS,150,46.555,44.882,47.054,2:18.491
2022-02-09,7:47 PM,rPPS,150,46.692,44.521,44.377,2:15.590
2022-03-12,10:06 PM,rPPS,150,45.968,44.304,44.181,2:14.453
2022-03-25,3:40 PM,rPPS,150,44.869,43.001,44.021,2:11.891
2022-04-14,11:17 PM,rPPS,150,44.596,43.201,43.644,2:11.441
2022-04-23,1:46 PM,rPPS,150,44.288,42.631,43.653,2:10.572
2022-04-23,1:53 PM,rPPS,150,43.946,42.731,43.368,2:10.045
2022-02-26,11:39 PM,RR,150,47.207,45.067,43.734,2:16.008
2022-02-27,8:28 PM,RR,150,47.251,44.501,43.458,2:15.210
2022-03-06,11:21 PM,RR,150,46.612,43.854,44.562,2:15.028
2022-03-12,12:41 AM,RR,150,45.788,44.126,44.539,2:14.453
2022-03-26,12:01 AM,RR,150,45.670,43.757,44.005,2:13.432
2022-04-14,10:25 PM,RR,150,45.234,43.576,43.870,2:12.680
2022-06-14,7:04 PM,RR,150,44.601,43.637,43.848,2:12.086
2022-02-01,5:11 AM,rRRd,150,29.833,28.433,30.503,1:28.769
2022-03-12,1:50 AM,rRRd,150,30.033,27.267,31.065,1:28.365
2022-03-25,11:56 PM,rRRd,150,29.866,27.617,30.464,1:27.947
2022-04-07,10:54 PM,rRRd,150,29.033,26.733,30.856,1:26.622
2022-02-02,5:31 AM,rRRy,150,45.872,43.484,43.294,2:12.650
2022-02-03,5:47 PM,rRRy,150,45.110,43.095,43.812,2:12.017
2022-02-03,6:01 PM,rRRy,150,45.196,43.323,42.915,2:11.434
2022-02-23,12:56 AM,rRRy,150,44.954,42.956,43.107,2:11.017
2022-03-07,11:46 PM,rRRy,150,45.079,43.011,42.742,2:10.832
2022-03-25,9:49 PM,rRRy,150,44.491,42.431,42.223,2:09.145
2022-04-07,8:11 PM,rRRy,150,44.273,42.263,42.258,2:08.794
2022-05-27,5:57 PM,rRRy,150,43.830,41.961,42.665,2:08.456
2022-06-04,7:24 PM,rRRy,150,43.876,41.745,42.123,2:07.744
2022-06-13,7:55 PM,rRRy,150,43.467,41.941,941.898,2:07.306
2022-02-27,9:04 PM,rSL,150,43.927,42.001,40.849,2:06.777
2022-03-06,9:32 PM,rSL,150,43.726,41.635,41.192,2:06.553
2022-03-12,2:19 AM,rSL,150,43.022,41.037,40.334,2:04.393
2022-03-25,9:45 PM,rSL,150,43.421,39.722,40.396,2:03.539
2022-04-14,10:18 PM,rSL,150,41.923,39.709,39.911,2:01.543
2022-06-30,11:41 PM,rSL,150,42.104,39.738,38.763,2:00.605
2022-07-24,8:24 PM,rSL,150,41.714,38.774,39.334,1:59.822
2022-02-26,11:35 PM,rTT,150,41.964,39.128,38.732,1:59.824
2022-03-06,9:42 PM,rTT,150,40.796,38.974,39.685,1:59.455
2022-04-14,7:51 PM,rTT,150,39.478,38.447,37.579,1:55.504
2022-04-17,7:34 PM,rTT,150,39.519,37.286,38.043,1:54.848
2022-05-26,11:09 PM,rTT,150,39.023,38.009,37.689,1:54.721
2022-05-27,9:07 PM,rTT,150,39.502,37.604,37.117,1:54.223
2022-06-03,9:43 PM,rTT,150,39.377,36.993,37.525,1:53.895
2022-02-27,8:44 PM,rTTC,150,42.686,40.289,40.454,2:03.429
2022-03-06,8:41 PM,rTTC,150,42.062,39.662,40.903,2:02.627
2022-03-25,10:48 PM,rTTC,150,42.617,39.218,39.058,2:00.893
2022-04-14,9:14 PM,rTTC,150,41.054,39.298,39.590,1:59.942
2022-04-17,6:55 PM,rTTC,150,40.859,38.425,39.297,1:58.581
2022-05-27,6:11 PM,rTTC,150,41.193,38.051,38.510,1:57.754
2022-06-28,10:55 PM,rTTC,150,39.186,37.872,39.260,1:56.318
2022-02-05,1:24 AM,rWS,150,43.624,41.993,42.168,2:07.785
2022-02-05,1:28 AM,rWS,150,42.937,41.794,41.830,2:06.561
2022-02-05,1:55 AM,rWS,150,42.978,41.298,41.687,2:05.963
2022-02-05,2:05 AM,rWS,150,42.712,41.753,41.354,2:05.819
2022-04-10,5:58 PM,rWS,150,42.643,41.697,41.153,2:05.493
2022-05-24,8:14 PM,rWS,150,41.876,40.887,41.496,2:04.259
2022-02-17,12:26 AM,rYV,150,46.449,43.604,42.835,2:12.888
2022-02-23,1:28 AM,rYV,150,45.895,43.345,43.479,2:12.719
2022-02-27,12:02 AM,rYV,150,45.011,42.828,42.491,2:10.330
2022-02-27,9:20 PM,rYV,150,44.612,42.127,42.070,2:08.809
2022-03-21,12:01 PM,rYV,150,44.336,41.872,41.613,2:07.821
2022-03-25,9:41 PM,rYV,150,44.449,41.754,41.382,2:07.585
2022-04-11,6:14 PM,rYV,150,44.440,41.621,41.491,2:07.552
2022-05-26,11:24 PM,rYV,150,44.140,42.154,41.167,2:07.461
2022-05-26,11:27 PM,rYV,150,43.985,41.564,41.465,2:07.014
2022-02-14,4:35 AM,SA,150,46.120,43.810,43.967,2:13.897
2022-03-06,8:36 PM,SA,150,45.757,43.706,43.768,2:13.231
2022-03-16,10:20 PM,SA,150,45.051,43.348,44.443,2:12.842
2022-03-16,10:27 PM,SA,150,45.027,43.538,43.449,2:12.014
2022-03-25,10:54 PM,SA,150,45.219,43.241,43.206,2:11.666
2022-04-07,7:46 PM,SA,150,44.709,43.371,43.044,2:11.124
2022-04-26,11:22 PM,SA,150,44.492,43.228,43.102,2:10.822
2022-05-30,10:36 PM,SA,150,44.737,43.113,42.704,2:10.554
2022-05-30,10:42 PM,SA,150,43.693,43.085,42.978,2:09.756
2022-03-11,11:54 PM,SGF,150,45.264,43.373,43.293,2:11.930
2022-03-16,10:17 PM,SGF,150,44.668,43.393,43.644,2:11.705
2022-03-25,11:01 PM,SGF,150,44.917,43.210,43.260,2:11.387
2022-04-14,7:14 PM,SGF,150,43.685,42.324,42.775,2:08.784
2022-04-17,5:35 PM,SGF,150,43.730,42.282,42.031,2:08.043
